ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,LINEARobjectID
119.526443,46.962120,1166,369,1018,269,-0.2541378,619,-313,-567,16.37,301,1,29848,
119.324013,47.095505,1356,521,1167,311,-0.2446909,709,-493,-997,15.02,289,1,32086,
118.503448,49.686569,1166,138,1154,384,-0.6093863,601,-52,-447,16.14,245,1,43542,
119.712975,52.149574,1175,386,1100,205,-0.1915912,487,-291,-879,16.46,284,1,50402,
118.491257,53.168125,805,554,1618,198,-0.1789000,695,-26,-1059,14.08,274,1,61011,
119.187241,53.379295,1123,207,1074,210,-0.2750920,624,-547,-322,16.54,276,1,62892,
120.294960,40.932457,1180,237,1087,368,-0.1708712,753,-121,-927,15.39,177,1,91437,
120.124542,40.656620,1178,-145,835,277,-0.5032516,550,140,-650,16.98,222,2,95250,
121.150764,42.483574,1267,-130,1038,739,-0.2529628,865,-340,-134,16.88,119,1,104455,
120.484200,41.021591,1233,-93,836,342,-0.2157694,836,-778,-668,15.18,276,1,105039,
120.915886,42.512482,1236,-54,799,63,-0.3243967,847,-1169,1164,16.69,282,1,108513,
121.134705,44.620602,1143,257,1251,277,-0.2828015,603,-1092,1138,14.05,69,1,120165,
120.797836,46.850952,1138,140,660,-122,-0.2733372,905,-137,315,16.73,310,1,136668,
120.575195,48.373753,1298,-124,947,323,-0.4740603,479,289,-1209,16.25,278,2,141414,
121.182045,48.228256,1192,288,1095,163,-0.3271737,773,-152,-1272,16.37,270,1,142794,
120.751266,51.866173,1198,376,1309,416,-0.2152422,467,-524,-609,15.42,293,1,158779,
120.154015,52.639690,1178,304,1179,399,-0.2900994,922,-877,-93,15.93,266,1,162255,
121.947922,52.004822,1249,-36,785,337,-0.4689952,455,110,-1318,15.53,306,2,163933,
120.347374,53.593864,1191,-240,658,18,-0.3388388,1089,-1142,401,16.44,227,1,172382,
121.822433,53.538300,1263,-23,697,245,-0.4762093,321,143,-890,15.05,270,2,174389,
120.642136,65.849930,1152,338,1040,111,-0.1888111,771,-230,-1025,16.44,188,1,186102,
123.207069,31.862926,992,263,1116,279,-0.6620399,364,507,-66,14.10,336,2,213223,
122.677216,32.412285,1196,344,977,334,-0.2424787,609,-391,-940,16.12,286,1,215632,
123.443306,38.050678,1190,3,930,277,-0.3963080,351,-77,-971,15.43,275,2,258499,
123.002663,40.655533,1177,354,1179,208,-0.2532047,684,-727,-133,15.82,270,1,263541,
122.766258,46.893044,1239,300,1443,440,-0.3079087,885,-642,-348,16.21,280,1,303860,
122.413269,48.790382,1214,146,781,290,-0.2248820,677,-839,-396,15.27,215,1,309626,
122.431648,57.504322,1282,-35,629,120,-0.2828540,997,-185,-946,16.98,180,1,355767,
122.925232,66.992264,1409,-1464,1897,160,-0.3035999,813,-607,-414,14.37,207,1,361960,
125.665428,25.988720,1177,308,1131,564,-0.2757020,897,-518,-356,16.87,493,1,393084,
124.868622,30.915112,1158,364,1045,-88,-0.1548151,603,284,743,16.87,263,1,418785,
124.550468,29.237726,1258,328,1136,319,-0.2714669,486,-273,-859,15.61,144,1,420327,
124.590233,31.571192,1163,165,1015,256,-0.1553756,422,257,-544,16.75,316,1,437483,
124.954468,32.286797,1207,297,1117,158,-0.1492019,477,4398,46366,16.29,349,1,439441,
125.643463,43.034058,1206,152,1096,500,-0.2535783,595,-564,249,15.80,289,1,514883,
124.235634,44.579464,1379,-148,793,121,-0.5264124,628,-45,-1051,15.81,243,2,516954,
124.601967,45.734329,1216,-80,763,273,-0.4290183,463,19,-1302,15.58,251,2,523832,
124.551598,54.888447,1001,237,1190,324,-0.2214631,477,-268,490,14.73,213,1,558961,
126.718132,22.681683,1325,-243,1238,370,-0.3136927,804,-871,-114,15.53,556,1,608497,
126.595757,28.401266,1181,26,1269,565,-0.4527152,536,102,96,16.89,404,2,658512,
127.899635,27.058247,1166,287,1077,160,-0.2196928,606,-349,-726,16.53,449,1,664583,
126.711281,28.117901,1183,36,1081,378,-0.2212614,524,-107,-175,16.82,336,1,670864,
127.142433,32.067822,1160,147,1257,137,-0.2753859,726,-652,-376,14.53,312,1,693239,
127.906685,36.105385,1140,103,976,211,-0.3698346,344,196,-1370,15.60,302,2,717668,
127.967537,38.537231,1206,-32,760,149,-0.5383784,334,-366,-894,15.41,305,2,734545,
127.251083,37.170456,1212,-15,854,204,-0.4473050,508,-261,-629,16.07,273,2,737951,
127.673576,40.406811,1172,-110,1604,275,-0.2010643,549,-182,-1232,14.45,289,1,747890,
126.453407,43.477623,1149,179,1357,294,-0.2668621,782,-839,-401,16.17,301,1,771232,
127.562714,49.840202,1156,222,1202,363,-0.1859996,674,658,4570,16.46,294,1,798477,
126.964096,51.918354,1157,293,1063,224,-0.2252766,776,-607,-757,14.74,270,1,803829,
127.450302,51.852364,1176,264,874,147,-0.3323753,876,-599,-460,16.06,289,1,810169,
126.366295,53.580585,1199,352,1376,495,-0.2296120,674,-413,-71,16.37,221,1,813450,
127.463974,60.044727,1176,358,1156,289,-0.3247745,1052,-865,-615,15.83,194,1,836895,
169.260147,18.717014,1222,-20,1137,317,-0.4268776,406,3137,17536,15.72,290,2,843294,
168.612457,-62,697,211,-0.4690668,383,127,-1447,15.60,105,2,851614,
